"filename", "language", "Python", "JSON", "Shell Script", "comment", "blank", "total"
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/autofetch.sh", "Shell Script", 0, 0, 9, 5, 4, 18
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/conn_tensorboard.sh", "Shell Script", 0, 0, 6, 2, 2, 10
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/fetch_results.sh", "Shell Script", 0, 0, 6, 3, 1, 10
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/loading.sh", "Shell Script", 0, 0, 2, 1, 2, 5
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/on_open.sh", "Shell Script", 0, 0, 13, 11, 5, 29
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/remote_submit.sh", "Shell Script", 0, 0, 3, 0, 1, 4
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/submit.sh", "Shell Script", 0, 0, 4, 3, 4, 11
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/to_remote.sh", "Shell Script", 0, 0, 9, 3, 2, 14
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/CLIENT/__init__.py", "Python", 8, 0, 0, 0, 1, 9
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/CLIENT/analyzable/analyzable.py", "Python", 100, 0, 0, 0, 22, 122
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/CLIENT/makers/__init__.py", "Python", 3, 0, 0, 2, 3, 8
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/CLIENT/makers/makers.py", "Python", 196, 0, 0, 0, 71, 267
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/RL/__init__.py", "Python", 2, 0, 0, 0, 1, 3
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/RL/players.py", "Python", 45, 0, 0, 3, 8, 56
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/RL/training_utils.py", "Python", 116, 0, 0, 1, 28, 145
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/__init__.py", "Python", 3, 0, 0, 0, 0, 3
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/analytics/__init__.py", "Python", 1, 0, 0, 0, 1, 2
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/analytics/analytics_formatter.py", "Python", 0, 0, 0, 0, -1, -1
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/analytics/standard_analytics.py", "Python", 38, 0, 0, 0, 7, 45
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/assets/cable.py", "Python", 4, 0, 0, 0, 1, 5
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/envs/__init__.py", "Python", 4, 0, 0, 0, 1, 5
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/envs/blend_env.py", "Python", 45, 0, 0, 1, 20, 66
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/envs/cable_env.py", "Python", 138, 0, 0, 0, 42, 180
"/home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/envs/cable_radius.py", "Python", -20, 0, 0, 1, 4, -15
