Date : 2025-03-01 14:07:38
Directory : /home/michal/Documents/Skola/bakalarka/RRT-RL-2D
Total : 72 files,  2701 codes, 99 comments, 681 blanks, all 3481 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Python       |         62 |      2,260 |         71 |        658 |      2,989 |
| JSON         |          2 |        389 |          0 |          2 |        391 |
| Shell Script |          8 |         52 |         28 |         21 |        101 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                |         72 |      2,701 |         99 |        681 |      3,481 |
| bash_scripts                                                                                     |          8 |         52 |         28 |         21 |        101 |
| rrt_rl_2D                                                                                        |         40 |      1,393 |         21 |        384 |      1,798 |
| rrt_rl_2D (Files)                                                                                |          1 |          3 |          0 |          0 |          3 |
| rrt_rl_2D/CLIENT                                                                                 |          4 |        307 |          2 |         97 |        406 |
| rrt_rl_2D/CLIENT (Files)                                                                         |          1 |          8 |          0 |          1 |          9 |
| rrt_rl_2D/CLIENT/analyzable                                                                      |          1 |        100 |          0 |         22 |        122 |
| rrt_rl_2D/CLIENT/makers                                                                          |          2 |        199 |          2 |         74 |        275 |
| rrt_rl_2D/RL                                                                                     |          3 |        163 |          4 |         37 |        204 |
| rrt_rl_2D/analytics                                                                              |          3 |         39 |          0 |          7 |         46 |
| rrt_rl_2D/assets                                                                                 |          1 |          4 |          0 |          1 |          5 |
| rrt_rl_2D/envs                                                                                   |          8 |        321 |          5 |        116 |        442 |
| rrt_rl_2D/export                                                                                 |          3 |         61 |          0 |         11 |         72 |
| rrt_rl_2D/import                                                                                 |          1 |         -5 |          0 |         -1 |         -6 |
| rrt_rl_2D/importable                                                                             |          2 |         84 |          4 |         16 |        104 |
| rrt_rl_2D/maps                                                                                   |          1 |         10 |          0 |          2 |         12 |
| rrt_rl_2D/node_managers                                                                          |          4 |         13 |          0 |          4 |         17 |
| rrt_rl_2D/nodes                                                                                  |          2 |          2 |          1 |          0 |          3 |
| rrt_rl_2D/planners                                                                               |          1 |         16 |          0 |          8 |         24 |
| rrt_rl_2D/rendering                                                                              |          3 |         16 |          0 |          2 |         18 |
| rrt_rl_2D/simulator                                                                              |          2 |          7 |          1 |          2 |         10 |
| rrt_rl_2D/utils                                                                                  |          1 |        352 |          4 |         82 |        438 |
| scripts                                                                                          |         24 |      1,256 |         50 |        276 |      1,582 |
| scripts (Files)                                                                                  |          4 |        210 |         15 |         68 |        293 |
| scripts/RL                                                                                       |          5 |        206 |          3 |         62 |        271 |
| scripts/debug                                                                                    |          4 |        116 |         13 |         51 |        180 |
| scripts/development                                                                              |          8 |        412 |         10 |         17 |        439 |
| scripts/playground                                                                               |          2 |         68 |          8 |         31 |        107 |
| scripts/quantitative                                                                             |          1 |        244 |          1 |         47 |        292 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                         | language     | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/autofetch.sh                       | Shell Script |          9 |          5 |          4 |         18 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/conn_tensorboard.sh                | Shell Script |          6 |          2 |          2 |         10 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/fetch_results.sh                   | Shell Script |          6 |          3 |          1 |         10 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/loading.sh                         | Shell Script |          2 |          1 |          2 |          5 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/on_open.sh                         | Shell Script |         13 |         11 |          5 |         29 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/remote_submit.sh                   | Shell Script |          3 |          0 |          1 |          4 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/submit.sh                          | Shell Script |          4 |          3 |          4 |         11 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/bash_scripts/to_remote.sh                       | Shell Script |          9 |          3 |          2 |         14 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/CLIENT/__init__.py                    | Python       |          8 |          0 |          1 |          9 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/CLIENT/analyzable/analyzable.py       | Python       |        100 |          0 |         22 |        122 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/CLIENT/makers/__init__.py             | Python       |          3 |          2 |          3 |          8 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/CLIENT/makers/makers.py               | Python       |        196 |          0 |         71 |        267 |
| /home/michal/Documents/Skola/bakalarka/RRT-RL-2D/rrt_rl_2D/RL/__init__.py                        | Python       |          2 |          0 |          1 |          3 |
